FDAT	TDAT	OMR	STN	LNR	STN_NAMN	X	Y	TOP	FORS	REFNIVA	RORHOJD	RORLANGD	SILLANGD	JORDDJUP	MATTYP	STNTYP	STNMTRL	DIAM	AKVIFER	GEOHYLAG	JORDART	GENES	TACKT	BERGART	MAGSTLK	TYPOMR	GVMILJO	ANM	NIVMET	VDIST	VT	N	E	SESS	EUCD_GWB	TEMPERATURDJUP	ID
1972-04-10	1989-11-28	73	145	1	Enköping_145	6606229	1581211	11HSV	381	11,59	0,85	11,1			N	R	ME									F				SE3		6605478	626659				73_145
1987-02-12	1996-09-19	73	147	1	Enköping_147	6605609	1581508	11HSV	381	11,84	1	10,75			N	R	ME									F				SE3		6604862	626964				73_147
1987-02-12	1989-11-28	73	148	1	Enköping_148	6605837	1581559	11HSV	381	12,54	0,2	3,7			N	R	ME									F				SE3		6605090	627012				73_148
1987-02-12	1996-12-20	73	149	1	Enköping_149	6606051	1581430	11HSV	381	12	0,9	13			N	R	ME									F				SE3		6605302	626881				73_149
1987-02-12	1989-11-28	73	150	1	Enköping_150	6606060	1581419	11HSV	381	11,78	0,7	13,6			N	R	ME									F				SE3		6605311	626869				73_150
1987-02-12	1989-10-12	73	152	1	Enköping_152	6606050	1581408	11HSV	381	12,01	0,25	3,75			N	R	ME									F				SE3		6605301	626859				73_152
1987-02-12	1989-10-12	73	154	1	Enköping_154	6604215	1580663	11HSV	381	3,24	1,58	18,7			N	R	ME									F				SE3		6603458	626136				73_154
1987-02-12	1989-10-12	73	155	1	Enköping_155	6604443	1581097	11HSV	381	3,23	1,55	12,15			N	R	ME									F				SE3		6603691	626567				73_155
1987-02-12	1996-11-28	73	156	1	Enköping_156	6604508	1580821	11HSV	381	4,59	1,1	8,35			N	R	ME									F				SE3		6603753	626290				73_156
1987-02-12	1989-11-10	73	158	1	Enköping_158	6614297	1582984	11HSV	381	7,08	1,3	19,6			N	R	ME									F				SE3		6613564	628334				73_158
1987-02-12	1996-09-19	73	159	1	Enköping_159	6613633	1583291	11HSV	381	7,64	1,15	15			N	R	ME									F				SE3		6612904	628649				73_159
1987-02-12	1989-11-10	73	160	1	Enköping_160	6613364	1581515	11HSV	381	11,97	0,8	7,6			N	R	ME									F				SE3		6612614	626877				73_160
1977-12-01	1996-12-20	73	3	1	Enköping_3	6623120	1568633	11HSV	381	30,76	0,48	53,57			N	R	ME	127	BS	I	LV	LM	XX	GRA		F				SE3		6622210	613881				73
_3
1972-11-01	1996-12-18	73	101	1	Enköping_101	6632375	1565577	11HSV	381	35,18	0,66	32,6			N	R	ME									F				SE3		6631424	610714				73_101
1972-11-01	1989-11-03	73	102	1	Enköping_102	6631954	1565643	11HSV	381	38,52	1,03	14,8			N	R	ME									F				SE3		6631004	610785				73_102
1972-11-01	1989-11-09	73	103	1	Enköping_103	6631324	1566315	11HSV	381	45,03	0,9	17,75			N	R	ME									F				SE3		6630382	611464				73_103
1972-11-01	1989-11-09	73	104	1	Enköping_104	6631077	1566589	11HSV	381	41,02	0,85	20,35			N	R	ME									F				SE3		6630139	611741				73_104
1972-11-01	1989-11-09	73	105	1	Enköping_105	6630973	1566759	11HSV	381	33,71	1	19,4			N	R	ME									F				SE3		6630037	611912				73_105
1972-11-01	1989-11-09	73	107	1	Enköping_107	6630964	1566924	11HSV	381	42,94	0,84	23,6			N	R	ME									F				SE3		6630030	612077				73_107
1972-11-01	1989-11-09	73	108	1	Enköping_108	6630813	1566786	11HSV	381	33,9	0,93	20,25			N	R	ME									F				SE3		6629877	611941				73_108
1972-11-01	1989-11-03	73	110	1	Enköping_110	6630594	1566902	11HSV	381	31,97	0,94	7,15			N	R	ME									F				SE3		6629660	612060				73_110
1972-11-01	1993-05-19	73	111	1	Enköping_111	6629828	1567025	11HSV	381	35,11	0,4	18,4			N	R	ME									F				SE3		6628896	612192				73_111
1972-11-01	1996-12-18	73	114	1	Enköping_114	6630998	1566433	11HSV	381	40,45	0,5	7,5			N	R	ME									F				SE3		6630058	611586				73_114
1972-12-29	1988-09-09	73	115	1	Enköping_115	6630774	1566218	11HSV	381	30,85	1,05	2,5			N	R	ME									F				SE3		6629831	611374				73_115
1978-08-13	1990-11-01	74	3	1	Komosse_3	6399920	1373604	06DNV	1491	337,58	1,16	5,1			N	R	ME	50	JÖ	V	TO	XX	XX	GNE		B				SE5		6396773	421630				74_3
1978-05-20	1998-04-21	74	7	1	Komosse_7	6398498	1373468	06DNV	1491	338,43	0,99	8,95			K	R	ME	50	JS	I	MN	XX	TO	GNE		B				SE5		6395351	421511				74_7
1978-08-13	1986-01-24	74	4	1	Komosse_4	6399930	1373293	06DNV	1491	337,73	0,56	35,6			N	R	PL	600	JÖ	V	TO	XX	XX	GNE		B				SE5		6396780	421319				74
_4
1978-08-13	1991-02-06	74	5	1	Komosse_5	6399931	1373303	06DNV	1491	338,25	1,03				N	R	ME	150	JS	M	MN	XX	TO	GNE		B				SE5		6396781	421329				74_5
1978-05-20		74	6	1	Komosse_6	6399823	1373312	06DNV	1491	338,2	1	8,95			K	R	PL	25	JÖ	I	TO	XX	XX	GNE	L	B	3			SE5		6396673	421339				74_6
1979-04-07	1990-10-30	74	2	2	Komosse_2	6399789	1374267	06DNV	680	336,95	0,96				NT	R	ME	50	JÖ	I	TO	XX	XX	GNE		B				SE5		6396650	422294				74_2
1981-04-30	1983-04-29	76	5	1	Storsjö_5	6972650	1347100	18CSO	2326	708,7	1,59	4,75			N	R	ME	38	JÖ		MN	XX	XX	GLS		I				SE2		6968831	388147				76_5
1981-04-30	1983-04-29	76	1	1	Storsjö_1	6963250	1394020	18DSO	2326	509,8	1,03	4,85			N	R	ME	38	JÖ		MN	XX	XX	KVT		I				SE2		6960024	435157				76_1
1981-04-30	1983-04-29	76	4	1	Storsjö_4	6972620	1363600	18DSV	2326	579,8	0,93	4,7			N	R	ME	38	JÖ		MN	XX	XX	GLS		I				SE2		6969008	404637				76_4
1981-04-30	1983-04-29	76	3	1	Storsjö_3	6973050	1377210	18DSO	2326	525,3	1,1	4,36			N	R	ME	38	JÖ		MN	XX	XX	KVT		I				SE2		6969608	418234				76_3
1981-04-30	1983-04-29	76	2	1	Storsjö_2	6968820	1388520	18DSO	2326	521,8	1,07	5,8			N	R	ME	38	JÖ		MN	XX	XX	KVT		I				SE2		6965522	429590				76_2
1981-04-30	1983-04-29	77	1	1	Rätan_1	6930270	1447250	17ENO	2326	303,9	1,1	4,9			N	R	ME	38	JÖ		MN	XX	XX	GRA		I				SE2		6927727	488770				77_1
1981-04-30	1983-04-29	77	4	1	Rätan_4	6932000	1435280	17ENO	2326	454,8	0,96	8,3			N	R	ME	38	JÖ		MN	XX	XX	GRA		I				SE2		6929307	476785				77_4
1981-04-30	1983-04-29	77	3	1	Rätan_3	6943200	1429000	17ENO	2326	377,9	1,28	3			N	R	ME	38	JÖ		MN	XX	XX	GRA		I				SE2		6940422	470368				77_3
1981-04-30	1983-04-29	77	2	1	Rätan_2	6932000	1435280	17ENO	2326	370,9	1,13	6,5			N	R	ME	38	JÖ		MN	XX	XX	GRA		I				SE2		6929307	476785				77_2
1982-05-31	1983-04-29	78	1	1	Holmsjön_1	6922400	1482220	17FSO	2260		1,2	6,5			N	R	ME	38	JÖ		MN	XX	XX	GNE		I				SE2		6920297	523821				78_1
1981-05-05	1983-04-29	78	2	1	Holmsjön_2	6920120	1479730	17FSO	2260	254,9	1,1	5,35			N	R	ME	38	JÖ		MN	XX	XX	GNE		I				SE2		6917987	521360				78_2
1981-05-05	1983-04-30	78	6	1	Holmsjön_6	6920580	1465780	17FSV	2260	261,9	1,64	4,9			N	R	ME	38	JÖ		MN	XX	XX	GNE		I				SE2		6918273	507411				78_6
1981-05-05	1982-04-26	78	4	1	Holmsjön_4	6921500	1473220	17FSV	2260	251,9	0,9	6,4			N	R	ME	38	JÖ		MN	XX	XX	GNE		I				SE2		6919285	514836				78_4
1981-05-05	1983-04-30	78	5	1	Holmsjön_5	6918850	1470150	17FSV	2260	265,9	1	5,5			N	R	ME	38	JÖ		MN	XX	XX	GNE		I				SE2		6916598	511801				78_5
1981-05-05	1983-04-30	78	3	1	Holmsjön_3	6920700	1476580	17FSV	2260	252,9	0,97	9,2			N	R	ME	38	JÖ		MN	XX	XX	GNE		I				SE2		6918527	518205				78_3
1981-04-23	1983-04-30	79	5	1	Åre_5	7028000	1357500	19CNO	2321	542,3	1,47	7,3			N	R	ME	38			MN	XX	XX	FJÄ		H				SE2		7024278	397846				79_5
1981-04-23	1981-06-15	79	1	1	Åre_1	7033450	1366930	19DNV	2321	475,2	1,08	4,1			N	R	ME	38	JÖ		MN	XX	XX	FJÄ		H				SE2		7029843	407202				79_1
1981-04-23	1983-04-30	79	4	1	Åre_4	7031550	1344080	19CNO	2321	503,3	1,4	4,1			N	R	ME	38	JÖ		MN	XX	XX	FJÄ		H				SE2		7027657	384390				79_4
1981-04-23	1983-04-30	79	3	1	Åre_3	7043250	1350890	19DNV	2321	451,8	1,55	8,7			N	R	ME	38	JÖ		MN	XX	XX	FJÄ		H				SE2		7039436	391049				79_3
1981-04-23	1983-04-30	79	2	1	Åre_2	7036200	1361250	19DNV	2321	487,2	1,44	6,68			N	R	ME	38	JÖ		MN	XX	XX	FJÄ		H				SE2		7032520	401491				79_2
1985-10-06	1990-05-19	80	103	1	Kallsjön_103	7078210	1334160	20CNO	2321	428,48	0,4	2	0.5		K	R	PX	19	JÖ	M	TO	XX	XX	FYL		H				SE2		7074163	373888				80_103
1981-04-02	1983-05-01	80	7	1	Kallsjön_7	7057980	1368100	20DSV	2321	421	1,5	4,15			N	R	ME	38	JÖ		MN	XX	XX	FJÄ		H				SE2		7054373	408063				80_7
1985-10-06	1990-05-19	80	102	1	Kallsjön_102	7078200	1334190	20CNO	2321	428,41	0,22	2	0.5		K	R	PX	19	JÖ	I	TO	XX	XX	FYL		H				SE2		7074153	373918				80_102
1985-10-06	1995-10-05	80	104	1	Kallsjön_104	7078220	1334160	20CNO	2321	429,03	0,4	1,59	0.5		K	R	PX	19	JÖ	M	MN	XX	TO	FYL		H				SE2		7074173	373888				80_104
1981-04-02	1983-05-01	80	6	1	Kallsjön_6	7060460	1367280	20DSV	2321	403	1,64	4,05			N	R	ME	38	JÖ		MN	XX	XX	FJÄ		H				SE2		7056842	407212				80
_6
1981-04-02	1983-05-01	80	3	1	Kallsjön_3	7067720	1356640	20DSV	2321	396,4	1,9	5,3			N	R	ME	38	JÖ		MN	XX	XX	FJÄ		H				SE2		7063963	396487				80
_3
1981-04-02	1983-05-01	80	4	1	Kallsjön_4	7068260	1360180	20DSV	2321	387	1,47	4,05			N	R	ME	38	JÖ		MN	XX	XX	FJÄ		H				SE2		7064547	400018				80
_4
1981-04-02	1983-05-01	80	5	1	Kallsjön_5	7064000	1364250	20DSV	2321	407	1,84	5,3			N	R	ME	38	JÖ		MN	XX	XX	FJÄ		H				SE2		7060341	404139				80_5
1981-04-27	1983-04-13	81	2	1	Storuman_2	7237050	1553250	23HNV	2421	378	1,15	5			N	R	ME	38	JÖ		MN	XX	XX	GRA		I				SE1		7235702	590847				81_2
1981-04-27	1983-04-13	81	3	1	Storuman_3	7241350	1547500	23GNO	2421	414	1,23	6			N	R	ME	38	JÖ		MN	XX	XX	GRA		I				SE1		7239927	585044				81_3
1981-04-27	1983-04-13	81	1	1	Storuman_1	7226850	1561050	23HNV	2421	399,4	0,63	5,22			N	R	ME	38	JÖ		MN	XX	XX	GRA		I				SE1		7225606	598774				81_1
1981-04-27	1983-04-13	81	5	1	Storuman_5	7251050	1534100	24GSO	2421	376	1,32	7,85			N	R	ME	38	JÖ		MN	XX	XX	KVT		I				SE1		7249451	571526				81_5
1981-04-27	1981-08-18	81	6	1	Storuman_6	7257250	1521450	24GSV	2421	387,5	1,53	6,1	1.0		N	R	ME	38	JÖ	I	MN	XX	XX			I				SE1		7255487	558802				81_6
1981-04-27	1983-04-13	81	4	1	Storuman_4	7246600	1541000	23GNO	2421	390	1,7	7			N	R	ME	38	JÖ		MN	XX	XX	KVT		I				SE1		7245092	578480				81_4
1981-04-23	1983-04-15	82	1	1	Björkvattnet_1	7266350	1490950	24FSO	2421	422,7	1,33	3,95			N	R	ME	38	JÖ		MN	XX	XX	AMF		J				SE1		7264192	528200				82_1
1981-04-23	1983-04-15	82	2	1	Björkvattnet_2	7266850	1485000	24FSO	2421	419,7	0,7	5,9			N	R	ME	38	JÖ		MN	XX	XX	AMF		J				SE1		7264616	522247				82_2
1981-04-23	1983-04-15	82	6	1	Björkvattnet_6	7275100	1471250	24FNV	2421	465	0,95	2,6			N	R	ME	38	JÖ		MN	XX	XX	FYL		J				SE1		7272686	508398				82
_6
1981-04-23	1983-04-15	82	4	1	Björkvattnet_4	7272850	1478900	24FSO	2421	418,5	1,35	4			N	R	ME	38	JÖ		MN	XX	XX	FYL		J				SE1		7270535	516073				82
_4
1981-04-23	1983-04-15	82	5	1	Björkvattnet_5	7272950	1475300	24FSO	2421	455,5	1,49	3,1			N	R	ME	38	JÖ		MN	XX	XX	FYL		J				SE1		7270589	512473				82_5
1981-04-23	1983-04-15	82	3	1	Björkvattnet_3	7272250	1481950	24FSO	2421	446,5	1,3	6,8			N	R	ME	38	JÖ		MN	XX	XX	AMF		J				SE1		7269974	519129				82_3
1981-10-01	1984-12-15	83	1	1	Tärnaby_1	7313500	1463550	25FSV	2421	522,9	1,45	6,5			N	R	ME	38	JÖ		MN	XX	XX	GLS		J				SE1		7310968	500209				83_1
1981-10-01	2001-11-01	83	4	1	Tärnaby_4	7319300	1466200	25FSV	2421	534,9	1,15	5,1			N	R	ME	38	JÖ		MN	XX	XX	AMF		J				SE1		7316799	502783				83_4
1981-10-01	2001-11-01	83	3	1	Tärnaby_3	7318050	1465150	25FSV	2421	540,9	1,05	5,1			N	R	ME	38	JÖ		MN	XX	XX	GLS		J				SE1		7315536	501750				83_3
1981-07-01	1996-06-03	84	19	1	Vimmerby_19	6376500	1501600	06GNV	860	101,74	0,2				N	R	BE									C				SE4		6374886	549837				84_19
1983-11-01	1991-12-01	84	43	1	Vimmerby_43	6408070	1496300	07FSO	884	115,42	0,8	5,5	1.00		N	R	ME	38	JÖ	I	MN	XX	XX	GNE		B				SE4		6406379	544165				84_43
1979-01-15	1987-12-16	85	16	1	Halmstad_16	6298550	1328550	04CNO	1380	24,05	0,6	23,8			N	R	ME	50	JÖ		GR					C				SE5		6294934	377804				85_16
1979-01-15	1987-12-16	85	12	1	Halmstad_12	6298460	1327900	04CNO	1380	40,96	0,25	4,05			N	R	BE	1000	JÖ		GR					C				SE5		6294836	377155				85_12
1979-01-15	1987-12-16	85	15	1	Halmstad_15	6298440	1327980	04CNO	1380	32,39	0,28	15,75			N	R	ME	50	JÖ		GR					C				SE5		6294817	377235				85_15
1979-01-15	1987-12-16	85	11	1	Halmstad_11	6299300	1328400	04CNO	1380	55,49	0,2	8,4			N	R	BE	1000	JÖ	I	GR					C				SE5		6295681	377645				85_11
1979-01-15	1987-12-16	85	13	1	Halmstad_13	6298630	1328160	04CNO	1380	30,44	1,1	16,8			N	R	ME	50	JÖ		GR					C				SE5		6295009	377413				85_13
1979-01-15	1987-12-16	85	14	1	Halmstad_14	6298300	1328050	04CNO	1380	25,32	0,58	24,2			N	R	ME	50	JÖ		GR					C				SE5		6294678	377307				85_14
1980-11-01	1990-04-22	86	1	1	Landskrona_1	6192382	1325080	02CNO	1282	18	1	10			N	R	ME	75	JÖ	I	SA	LM				A				SE4		6188795	375579				86_1
1984-12-12	1987-05-27	86	3	1	Landskrona_3	6210200	1314700	03CSV	1283	49,56	0,8	19	8.5	10,5	N	R		200	BX	I	MN	XX	ML	LST		A				SE4		6206480	364998				86_3
1980-11-01	1990-12-10	86	2	1	Landskrona_2	6192369	1325068	02CNO	1282	16,84	0,44	145		41,5	N	R	ME	200	BS	I	ML	XX	SA	KST		A				SE4		6188782	375567				86_2
1989-10-17	1999-09-14	89	1	3	Grimsö_1	6611350	1478900	11FSO	1885	83,98	0,73	8,8	1.00		N	R	PL	38	JÖ	U	MN	XX	TO	GRA		E				SE3		6609355	524329				89_1
1985-08-02	2003-02-12	90	2	1	Nåntuna_2	6634837	1604944	11INV	380	9,61	0,7	2,69	1.0		NK	R	PL	35	JÖ	I	MN	XX	XX	GRA	L	F	3			SE3		6634364	650037				90_2
1985-08-02	1996-03-25	90	3	1	Nåntuna_3	6634750	1604880	11INV	380	9,68	0,69	3,49	0.50		NK	R	PX	31	JÖ	I	MN	XX	XX	GRA		F				SE3		6634276	649974				90_3
1985-08-02	1987-03-31	90	1	1	Nåntuna_1	6634750	1604910	11INV	380	12	0,5	4,52	0.5		NK	R	PX	32	JÖ	I	MN	XX	XX	GRA		F				SE3		6634277	650004				90_1
1985-06-07	1986-05-27	91	102	1	Reivo_102	7303550	1651100	25JSV	2505	505,66	0,4	1,28	0.5		K	R	PX	19	JÖ	I	MN	XX	TO	POR		I				SE1		7303430	687808				91_102
1985-07-27	1995-10-02	91	109	1	Reivo_109	7302310	1650330	25JSV	2505	443,43	0,55	4,5	0.5		K	R	PX	30	JÖ	I	SA	FL	XX	POR		I				SE1		7302181	687054				91_109
1985-06-07	1989-09-11	91	101	1	Reivo_101	7303570	1651110	25JSV	2505	504,06	0,4	1,75	0.5		K	R	PX	19	JÖ	I	MN	XX	TO	POR		I				SE1		7303450	687818				91_101
1985-06-07	1988-09-05	91	103	1	Reivo_103	7303550	1651100	25JSV	2505	505,6	0,4	1,78	0.5		K	R	PX	19	JÖ	I	MN	XX	TO	POR		I				SE1		7303430	687808				91_103
1985-07-27	1995-10-02	91	108	1	Reivo_108	7302300	1650290	25JSV	2505	442,37	0,6	3,5	0.5		K	R	PX	30	JÖ	I	SA	FL	XX	POR		I				SE1		7302170	687014				91_108
1985-07-27		91	106	1	Reivo_106	7302267	1650244	25JSV	2505	440,68	0,7	3,45	0.5		K	R	PX	30	JÖ	I	SA	FL	XX	POR	L	I	4	Kollad. OK enl. Jord regional N		SE1		7302137	686969		SE729722-165299		91_106
1985-07-27	1995-10-02	91	107	1	Reivo_107	7302300	1650290	25JSV	2505	442,31	0,5	4,5	0.5		K	R	PX	30	JÖ	I	SA	FL	XX	POR		I				SE1		7302170	687014				91_107
1985-06-07	1988-09-05	91	104	1	Reivo_104	7303540	1651090	25JSV	2505	507,41	0,2	2	0.5		K	R	PX	19	JÖ	I	MN	XX	TO	POR		I				SE1		7303420	687798				91
_104
1988-10-12	1992-09-29	92	3	1	Tandövala_3	6750580	1354560	14DSV	2023		0,4	2,5	0.50		K	R	PX	30	JÖ	I	MN			GRA		I				SE5		6746991	398357				92_3
1988-10-12	1995-10-08	92	1	1	Tandövala_1	6750540	1354500	14DSV	2023		0,65	1,5	0.50		K	R	PX	30	JÖ	U	MN			GRA	L	I				SE5		6746950	398298				92_1
2000-08-28		92	5	1	Tandövala_5	6749496	1354036	14DSV	2023		1,35	4	0.5		K	R	PE	63	JÖ	I	GR	GF			S	I	4	Kollad. OK enl. Jord regional C och HYLA		SE5		6745901	397847		SE674897-135424		92_5
1988-10-12	1992-09-29	92	4	1	Tandövala_4	6750600	1354560	14DSV	2023		0,65	2	0.50		K	R	PX	30	JÖ	I	MN			GRA		I				SE5		6747011	398357				92_4
1988-10-12	1995-10-08	92	2	1	Tandövala_2	6750550	1354520	14DSV	2023		0,55	2,5	0.50		K	R	PX	30	JÖ	U	MN			GRA	L	I				SE5		6746960	398318				92_2
2006-08-15	2009-05-13	94	3	1	Helsingborg_3	6222477	1311384	03CSV	1283	42,36	0,85	11,97	0.50		N	R	ME	50	JÖ	U	SA	GF				A				SE5		6218710	361541				94_3
1995-06-02	2001-07-17	94	2	1	Helsingborg_2	6222400	1311050	03CSV	1283	40	0,35	3,51	0.50		N	R	PL	50	JÖ	U	SA	GF				A				SE5		6218629	361208				94_2
1995-06-02	2009-05-13	94	1	1	Helsingborg_1	6222123	1311020	03CSV	1283	48,54	0,97	5,53	0.50		N	R	PL	50	JÖ	I	ML	XX	XX			A				SE5		6218352	361181				94_1
2005-09-01		95	1	1	Lagga_1	6631970	1611062	11INV	330		0,5	4	1	4	K	R	PE	63	JS	U	MN	XX	L		L	F	3	slitsvidd 1mm		SE3		6631572	656187				95_1
1995-08-29		100	1	1	Landvetter_1	6404950	1285520	07BSO	1401	105	0,4	3,54	0.5	3,8	K	R	PE	54	JÖ	I	MN	XX		GRO		B	3			SE5		6400752	333543				100_1
2002-08-29	2006-10-12	100	3	1	Landvetter_3	6405003	1285518	07BSO	1401	105	0,15	4	0.5		K	R	PE	63	JÖ	I	MN	GF		GRO	L	B	3			SE5		6400805	333541				100
_3
1995-08-29	2006-10-12	100	2	1	Landvetter_2	6405004	1285506	07BSO	1401	105	0,4	4,53	0.5	3,8	K	R	PE	54	JÖ	I	MN	XX		GRO	L	B	3			SE5		6400806	333529				100_2
